condition,n_seeds,n_complete,hv_median,hv_iqr,hv_mean,hv_sd,norm_hv_median,norm_hv_iqr,hr_all_median,hr_all_iqr,hr_all_mean,hr_all_sd,cvr_proposal_median,cvr_proposal_iqr,parse_rate_mean,schema_rate_mean,identifier_rate_mean,applicability_rate_mean,best_cost_eur_median,lowest_mass_kg_median,wall_clock_sec_median,t100_sec_median
C1,10,10,9.179591554439998,0.0,9.179591554439998,0.0,0.031397163763954246,0.0,0.0,0.0,0.0019230769230769232,0.0057692307692307696,,,1.0,1.0,0.998076923076923,0.998076923076923,187.15,0.6445508,98.95639729150571,217.6816063961074
C2,10,10,8.867432889439998,0.0,8.929864622439998,0.12486346600000005,0.0303294804506807,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,187.15,0.6445508,181.95948922951357,289.99536186094696
C3,10,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,1.0,0.0,0.0,0.0,,,101.72757277096389,508.63786385481944
C5,10,10,16.40470028264,4.126615821450011,15.905247498699998,2.9171211902642216,0.05610936589259346,0.014114357046128352,,,,,,,,,,,159.635,0.5969506,0.05103658349253237,0.10207316698506474
