condition,n_seeds,n_complete,hv_median,hv_iqr,hv_mean,hv_sd,norm_hv_median,norm_hv_iqr,hr_all_median,hr_all_iqr,hr_all_mean,hr_all_sd,cvr_proposal_median,cvr_proposal_iqr,parse_rate_mean,schema_rate_mean,identifier_rate_mean,applicability_rate_mean,best_cost_eur_median,lowest_mass_kg_median,wall_clock_sec_median,t100_sec_median
C4_base_no_rag,3,0,8.33666872943999,4.681306358320001,5.8997604820266645,4.19273344213379,0.028514095838769776,0.01601157758378933,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,178.82,0.6605076000000001,374.68302362499526,420.7676739268096
C4_base_no_schema,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,,,8242.398695333046,549.4932463555364
C4_base_no_validator,3,0,8.441200833839996,4.5497023175199995,5.846868489626665,4.143083506457514,0.028871629350034806,0.015561449318660018,0.025,0.0303030303030303,0.028535353535353535,0.02486828889719228,,,1.0,1.0,0.9714646464646465,0.9714646464646465,180.91,0.6507108,190.9510915420251,550.4998270807287
