condition,seed,run_id,terminal_status,n_eval_target,n_eval_consumed,n_prop,parse_rate,schema_rate,identifier_rate,applicability_rate,objective_evaluated_rate,hr_all,hr_schema_valid,cvr_proposal,cvr_rule,hypervolume,normalized_hv,delta_hv,pareto_size,best_cost_eur,lowest_mass_kg,min_ideal_distance,wall_clock_sec,t100_sec,eta_hv,total_tokens
C4_base_no_rag,0,sha256:623140f4382cd29e,COMPLETE_CONVERGED,50,11,20,1.0,1.0,1.0,1.0,0.8,0.0,0.0,,,0.0,0.0,0.0,1,178.87,0.8158752,0.0,100.3574252499966,501.787126249983,0.0,
C4_base_no_rag,1,sha256:e80fb9c0f1c84282,COMPLETE_CONVERGED,50,18,97,1.0,1.0,1.0,1.0,0.4329896907216495,0.0,0.0,,,9.362612716640001,0.03202315516757866,9.362612716640001,4,178.41,0.6458149,0.6562286367300296,408.1446437090053,420.7676739268096,0.022939447720194163,
C4_base_no_rag,2,sha256:97218f7731a7a384,COMPLETE_CONVERGED,50,14,92,1.0,1.0,1.0,1.0,0.29347826086956524,0.0,0.0,,,8.33666872943999,0.028514095838769776,8.33666872943999,3,178.82,0.6605076000000001,0.6458800377546058,374.68302362499526,407.2641561141253,0.02224992381235777,
C4_base_no_schema,0,sha256:584a858898be6495,ABORTED_BUDGET_UNREACHED,50,0,1500,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0,,,,9190.650012291968,612.7100008194645,0.0,
C4_base_no_schema,1,sha256:15c4c57e82572e99,ABORTED_BUDGET_UNREACHED,50,0,1500,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0,,,,8242.398695333046,549.4932463555364,0.0,
C4_base_no_schema,2,sha256:deec1d5e6f21eba0,ABORTED_BUDGET_UNREACHED,50,0,1500,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0,,,,8067.345654291043,537.8230436194028,0.0,
C4_base_no_validator,0,sha256:b73e2604f3199a14,COMPLETE_CONVERGED,50,11,40,1.0,1.0,0.975,0.975,0.275,0.025,0.025,,,0.0,0.0,0.0,1,184.73,0.8368911,0.0,207.5096389579703,518.7740973949258,0.0,
C4_base_no_validator,1,sha256:ee93fc18a14ee252,COMPLETE_CONVERGED,50,11,33,1.0,1.0,0.9393939393939394,0.9393939393939394,0.3333333333333333,0.06060606060606061,0.06060606060606061,,,9.099404635039999,0.031122898637320037,9.099404635039999,5,180.21,0.6458149,0.6530425201066866,190.9510915420251,578.6396713394699,0.04765306425618088,
C4_base_no_validator,2,sha256:9ff72afcbb30e872,COMPLETE_CONVERGED,50,11,26,1.0,1.0,1.0,1.0,0.4230769230769231,0.0,0.0,,,8.441200833839996,0.028871629350034806,8.441200833839996,3,180.91,0.6507108,0.6656882706160796,143.12995504098944,550.4998270807287,0.058975780656275706,
